S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
290,Seattle,Men,Never Married,Mature Working,Middle,Advertising and Promotion Executive,1,US$ 2736 to US$ 8205,16% to 20%,Flash Board,3,2,4,Intermediaries,Less Than 1 Year,Low,More than 13,Others
291,Memphis,Men,Married,Elderly,Uneducated,Marketing and Sales Executive,1,Above US$ 30086,Above 26%,Others,5,5,4,Family Reference,1 Year to 3 Years,Low,10 to 12 ,Tax
292,San Francisco,Men,Never Married,Elderly,Primary,Training and Development Executive,1,US$ 8206 to US$ 13675,Don't Want to Reveal,Magazine,10,8,3,Social Media,1 Year to 3 Years,Medium,More than 13,Others
293,Houston,Men,Never Married,Prime Working,Secondary,Training and Development Executive,3,Above US$ 30086,Upto 5%,Others,7,5,2,Friends Reference,1 Year to 3 Years,High,Negative Return,Return
294,Seattle,Men,Married,Children,Teritary,Top Executives,3,Above US$ 30086,6% to 10%,Magazine,8,8,4,Others,Above 9 Years,High,More than 13,Tax
295,San Francisco,Women,Never Married,Elderly,Secondary,Advertising and Promotion Executive,2,Above US$ 30086,Upto 5%,Friends,2,6,2,Social Media,4 Years to 6 Years,Medium,More than 13,Fun and Exitement
296,New York,Women,Married,Children,Teritary,Advertising and Promotion Executive,1,Above US$ 30086,11% to 15%,Others,3,8,5,Friends Reference,Less Than 1 Year,Low,10 to 12 ,Tax
297,New York,Women,Married,Prime Working,Secondary,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,11% to 15%,Family,4,6,5,Family Reference,Less Than 1 Year,Low,Negative Return,Fun and Exitement
298,Seattle,Men,Married,Elderly,Middle,Computer and Information System Executive,3,Above US$ 30086,11% to 15%,Television,10,5,3,Institutions,7 Years to 9 Years,High,1 to 4,Status
299,Houston,Women,Never Married,Children,Middle,Advertising and Promotion Executive,4,Above US$ 30086,21% to 25%,Television,1,9,4,Social Media,7 Years to 9 Years,Medium,1 to 4,Inflation
300,Seattle,Men,Never Married,Elderly,Uneducated,Marketing and Sales Executive,5,US$ 2736 to US$ 8205,Upto 5%,Magazine,2,4,5,Friends Reference,Above 9 Years,High,Negative Return,Return
301,Memphis,Women,Married,Mature Working,Secondary,Training and Development Executive,4,US$ 13676 to US$ 19145,21% to 25%,Magazine,8,5,2,Friends Reference,7 Years to 9 Years,Medium,7 to 9,Fun and Exitement
302,New York,Women,Never Married,Mature Working,Secondary,Top Executives,5,US$ 19146 to US$ 24615,6% to 10%,Television,5,6,1,Intermediaries,4 Years to 6 Years,Low,10 to 12 ,Tax
303,New York,Men,Never Married,Early Working,Secondary,Training and Development Executive,5,Above US$ 30086,Above 26%,Flash Board,7,10,6,Intermediaries,Above 9 Years,Low,More than 13,Fun and Exitement
304,San Francisco,Women,Never Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 2735,16% to 20%,Others,6,6,2,Intermediaries,Less Than 1 Year,High,10 to 12 ,Inflation
305,San Francisco,Men,Married,Mature Working,Uneducated,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Others,7,4,2,Friends Reference,4 Years to 6 Years,Medium,10 to 12 ,Inflation
306,San Francisco,Men,Never Married,Early Working,Secondary,Computer and Information System Executive,4,US$ 8206 to US$ 13675,21% to 25%,Workers,6,3,3,Family Reference,Less Than 1 Year,High,5 to 6,Return
307,Memphis,Women,Married,Elderly,Teritary,Training and Development Executive,1,US$ 13676 to US$ 19145,16% to 20%,Workers,3,5,3,Institutions,Above 9 Years,High,Negative Return,Inflation
308,Memphis,Women,Married,Mature Working,Teritary,Advertising and Promotion Executive,2,US$ 2736 to US$ 8205,21% to 25%,Magazine,2,3,4,Others,Above 9 Years,Medium,Negative Return,Status
309,Houston,Men,Never Married,Elderly,Teritary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Flash Board,6,4,4,Workers Reference,4 Years to 6 Years,High,1 to 4,Others
310,New York,Men,Never Married,Prime Working,Uneducated,Training and Development Executive,4,US$ 24616 to US$ 30085,Upto 5%,Others,4,4,2,Family Reference,7 Years to 9 Years,Low,Negative Return,Status
311,Houston,Men,Never Married,Mature Working,Primary,Training and Development Executive,3,US$ 8206 to US$ 13675,21% to 25%,Television,7,2,5,Others,Less Than 1 Year,High,10 to 12 ,Fun and Exitement
312,San Francisco,Men,Never Married,Elderly,Uneducated,Marketing and Sales Executive,4,US$ 2736 to US$ 8205,16% to 20%,Family,10,3,1,Workers Reference,4 Years to 6 Years,Low,1 to 4,Status
313,Houston,Women,Never Married,Mature Working,Middle,Computer and Information System Executive,5,US$ 13676 to US$ 19145,16% to 20%,Television,6,5,6,Institutions,4 Years to 6 Years,Low,10 to 12 ,Status
314,San Francisco,Men,Married,Elderly,Secondary,Training and Development Executive,4,US$ 13676 to US$ 19145,16% to 20%,Others,1,4,2,Social Media,Less Than 1 Year,High,1 to 4,Return
315,Houston,Women,Never Married,Children,Primary,Computer and Information System Executive,1,US$ 2735,21% to 25%,Magazine,3,9,2,Others,7 Years to 9 Years,High,1 to 4,Return
316,Houston,Women,Married,Mature Working,Uneducated,Top Executives,4,US$ 2736 to US$ 8205,16% to 20%,Workers,7,6,3,Others,4 Years to 6 Years,Medium,More than 13,Tax
317,Houston,Women,Married,Prime Working,Teritary,Marketing and Sales Executive,2,US$ 8206 to US$ 13675,21% to 25%,Others,10,3,5,Intermediaries,Above 9 Years,Low,More than 13,Others
318,Memphis,Women,Never Married,Early Working,Primary,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Above 26%,Television,5,4,4,Others,7 Years to 9 Years,High,More than 13,Return
319,New York,Women,Married,Children,Uneducated,Top Executives,3,US$ 8206 to US$ 13675,Above 26%,Workers,3,7,3,Family Reference,Less Than 1 Year,High,7 to 9,Return
320,Seattle,Women,Married,Early Working,Uneducated,Advertising and Promotion Executive,3,Above US$ 30086,Upto 5%,Others,10,9,3,Intermediaries,4 Years to 6 Years,High,Negative Return,Tax
321,Houston,Men,Never Married,Mature Working,Middle,Advertising and Promotion Executive,4,US$ 2735,Above 26%,Flash Board,7,3,4,Social Media,7 Years to 9 Years,High,10 to 12 ,Fun and Exitement
322,San Francisco,Women,Married,Elderly,Middle,Advertising and Promotion Executive,2,US$ 8206 to US$ 13675,Above 26%,Friends,7,6,3,Others,1 Year to 3 Years,High,5 to 6,Others
323,Houston,Women,Married,Elderly,Middle,Computer and Information System Executive,2,US$ 24616 to US$ 30085,21% to 25%,Magazine,2,1,2,Institutions,Less Than 1 Year,High,Negative Return,Return
324,Houston,Men,Married,Early Working,Uneducated,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,Above 26%,Flash Board,10,8,5,Workers Reference,4 Years to 6 Years,High,10 to 12 ,Return
325,Houston,Women,Never Married,Prime Working,Middle,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Television,10,7,2,Social Media,7 Years to 9 Years,High,10 to 12 ,Inflation
326,San Francisco,Men,Never Married,Mature Working,Primary,Training and Development Executive,3,US$ 13676 to US$ 19145,6% to 10%,Magazine,10,6,6,Family Reference,1 Year to 3 Years,Medium,1 to 4,Inflation
327,San Francisco,Men,Married,Children,Middle,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,Above 26%,Others,4,7,3,Friends Reference,Less Than 1 Year,Low,More than 13,Status
328,Seattle,Women,Married,Elderly,Secondary,Computer and Information System Executive,1,US$ 24616 to US$ 30085,Above 26%,Flash Board,2,9,3,Friends Reference,4 Years to 6 Years,Low,1 to 4,Fun and Exitement
329,Houston,Women,Married,Mature Working,Teritary,Top Executives,1,US$ 19146 to US$ 24615,11% to 15%,Flash Board,5,9,6,Friends Reference,1 Year to 3 Years,Medium,1 to 4,Others
330,San Francisco,Men,Married,Prime Working,Primary,Top Executives,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Family,4,4,4,Workers Reference,7 Years to 9 Years,Medium,10 to 12 ,Fun and Exitement
331,Seattle,Women,Married,Mature Working,Middle,Advertising and Promotion Executive,4,US$ 13676 to US$ 19145,6% to 10%,Magazine,10,4,1,Family Reference,Less Than 1 Year,Low,5 to 6,Fun and Exitement
332,Seattle,Women,Married,Children,Teritary,Advertising and Promotion Executive,1,US$ 8206 to US$ 13675,11% to 15%,Workers,5,5,2,Intermediaries,7 Years to 9 Years,Medium,7 to 9,Status
333,New York,Men,Married,Mature Working,Primary,Computer and Information System Executive,2,Above US$ 30086,11% to 15%,Flash Board,8,2,4,Institutions,Less Than 1 Year,Low,10 to 12 ,Fun and Exitement
334,San Francisco,Women,Married,Elderly,Secondary,Top Executives,4,Above US$ 30086,Above 26%,Flash Board,4,9,4,Institutions,1 Year to 3 Years,Low,10 to 12 ,Tax
335,Houston,Women,Married,Elderly,Primary,Training and Development Executive,4,US$ 2735,Don't Want to Reveal,Television,10,4,2,Intermediaries,7 Years to 9 Years,Low,5 to 6,Fun and Exitement
336,Memphis,Women,Never Married,Elderly,Primary,Computer and Information System Executive,3,US$ 2735,16% to 20%,Flash Board,7,3,3,Friends Reference,7 Years to 9 Years,Medium,Negative Return,Status
337,Houston,Men,Married,Mature Working,Teritary,Training and Development Executive,1,US$ 2735,Don't Want to Reveal,Flash Board,4,3,3,Institutions,Less Than 1 Year,Medium,1 to 4,Fun and Exitement
338,Seattle,Women,Married,Elderly,Secondary,Advertising and Promotion Executive,5,Above US$ 30086,21% to 25%,Family,4,6,2,Family Reference,Above 9 Years,Medium,Negative Return,Status
339,Houston,Women,Never Married,Elderly,Primary,Marketing and Sales Executive,4,Above US$ 30086,11% to 15%,Friends,2,3,4,Friends Reference,Less Than 1 Year,High,10 to 12 ,Others
340,San Francisco,Men,Married,Elderly,Uneducated,Computer and Information System Executive,4,US$ 8206 to US$ 13675,16% to 20%,Workers,10,1,5,Others,Above 9 Years,Low,Negative Return,Others
341,New York,Men,Never Married,Elderly,Teritary,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Friends,7,6,1,Family Reference,Less Than 1 Year,Medium,Negative Return,Inflation
342,Houston,Men,Never Married,Children,Teritary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Television,9,1,3,Intermediaries,1 Year to 3 Years,High,7 to 9,Fun and Exitement
343,Houston,Men,Never Married,Early Working,Secondary,Computer and Information System Executive,3,US$ 2736 to US$ 8205,Above 26%,Workers,9,5,5,Intermediaries,Less Than 1 Year,Medium,7 to 9,Status
344,San Francisco,Men,Married,Prime Working,Middle,Top Executives,4,US$ 2735,6% to 10%,Television,9,3,5,Intermediaries,1 Year to 3 Years,High,7 to 9,Status
345,New York,Women,Married,Mature Working,Secondary,Advertising and Promotion Executive,4,US$ 19146 to US$ 24615,6% to 10%,Magazine,8,9,4,Friends Reference,Above 9 Years,Medium,10 to 12 ,Fun and Exitement
346,Memphis,Women,Married,Prime Working,Teritary,Computer and Information System Executive,4,US$ 24616 to US$ 30085,Upto 5%,Friends,9,8,3,Friends Reference,Above 9 Years,Medium,7 to 9,Status
347,Houston,Women,Married,Early Working,Teritary,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,Upto 5%,Family,3,6,6,Workers Reference,4 Years to 6 Years,Low,7 to 9,Return
348,Memphis,Women,Never Married,Early Working,Primary,Computer and Information System Executive,4,US$ 2735,11% to 15%,Television,3,1,4,Others,7 Years to 9 Years,Low,5 to 6,Inflation
349,San Francisco,Men,Never Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 2735,6% to 10%,Family,1,9,2,Intermediaries,1 Year to 3 Years,Low,5 to 6,Others
350,Houston,Men,Married,Early Working,Secondary,Training and Development Executive,5,US$ 2736 to US$ 8205,Upto 5%,Magazine,2,7,5,Family Reference,Above 9 Years,Medium,7 to 9,Inflation
351,Houston,Women,Married,Elderly,Primary,Computer and Information System Executive,1,Above US$ 30086,Upto 5%,Others,7,7,1,Institutions,Less Than 1 Year,Medium,10 to 12 ,Return
352,New York,Women,Never Married,Early Working,Uneducated,Advertising and Promotion Executive,3,US$ 13676 to US$ 19145,16% to 20%,Workers,3,9,1,Institutions,Less Than 1 Year,Medium,Negative Return,Tax
353,Houston,Women,Never Married,Prime Working,Secondary,Training and Development Executive,5,Above US$ 30086,11% to 15%,Television,1,4,6,Institutions,7 Years to 9 Years,Medium,1 to 4,Tax
354,Memphis,Women,Never Married,Prime Working,Teritary,Top Executives,2,US$ 13676 to US$ 19145,16% to 20%,Workers,9,5,5,Workers Reference,Less Than 1 Year,Low,1 to 4,Return
355,Memphis,Men,Married,Mature Working,Secondary,Computer and Information System Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Television,8,10,3,Friends Reference,4 Years to 6 Years,High,More than 13,Inflation
356,Seattle,Men,Married,Children,Teritary,Marketing and Sales Executive,2,US$ 8206 to US$ 13675,Upto 5%,Magazine,5,9,3,Friends Reference,Less Than 1 Year,High,More than 13,Others
357,Seattle,Men,Married,Children,Primary,Training and Development Executive,2,US$ 8206 to US$ 13675,11% to 15%,Others,1,5,6,Family Reference,Above 9 Years,Low,1 to 4,Inflation
358,San Francisco,Women,Married,Prime Working,Secondary,Advertising and Promotion Executive,1,US$ 19146 to US$ 24615,16% to 20%,Television,4,9,6,Institutions,4 Years to 6 Years,High,10 to 12 ,Inflation
359,New York,Women,Married,Prime Working,Uneducated,Top Executives,1,US$ 19146 to US$ 24615,Don't Want to Reveal,Family,3,5,4,Workers Reference,1 Year to 3 Years,Low,Negative Return,Others
360,Houston,Men,Never Married,Early Working,Uneducated,Top Executives,5,US$ 8206 to US$ 13675,Don't Want to Reveal,Workers,2,1,3,Intermediaries,1 Year to 3 Years,Low,5 to 6,Others
361,Seattle,Women,Never Married,Early Working,Primary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,11% to 15%,Flash Board,8,5,4,Social Media,4 Years to 6 Years,Low,Negative Return,Status
362,San Francisco,Women,Married,Early Working,Uneducated,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,11% to 15%,Others,2,9,6,Social Media,1 Year to 3 Years,Low,5 to 6,Inflation
363,San Francisco,Men,Never Married,Children,Uneducated,Top Executives,1,Above US$ 30086,Above 26%,Friends,7,1,3,Friends Reference,Above 9 Years,Medium,5 to 6,Return
364,New York,Women,Married,Mature Working,Middle,Computer and Information System Executive,1,US$ 13676 to US$ 19145,11% to 15%,Flash Board,1,1,5,Family Reference,7 Years to 9 Years,Medium,1 to 4,Inflation
365,Houston,Men,Never Married,Elderly,Primary,Marketing and Sales Executive,3,US$ 2735,21% to 25%,Flash Board,9,1,6,Others,Less Than 1 Year,High,5 to 6,Fun and Exitement
366,Seattle,Women,Never Married,Mature Working,Teritary,Training and Development Executive,5,US$ 13676 to US$ 19145,11% to 15%,Magazine,2,5,1,Institutions,Above 9 Years,Low,5 to 6,Status
367,New York,Women,Married,Mature Working,Primary,Computer and Information System Executive,5,Above US$ 30086,21% to 25%,Family,6,5,2,Family Reference,4 Years to 6 Years,High,Negative Return,Fun and Exitement
368,Houston,Men,Never Married,Prime Working,Middle,Marketing and Sales Executive,3,Above US$ 30086,Upto 5%,Magazine,8,3,6,Institutions,4 Years to 6 Years,High,7 to 9,Fun and Exitement
369,Memphis,Women,Never Married,Prime Working,Teritary,Top Executives,4,US$ 2735,11% to 15%,Television,2,6,6,Workers Reference,1 Year to 3 Years,Medium,7 to 9,Return
370,Houston,Men,Never Married,Prime Working,Middle,Training and Development Executive,2,US$ 19146 to US$ 24615,11% to 15%,Flash Board,10,2,5,Social Media,7 Years to 9 Years,High,More than 13,Tax
371,Seattle,Women,Never Married,Children,Secondary,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,Upto 5%,Family,1,8,5,Social Media,Above 9 Years,Medium,10 to 12 ,Fun and Exitement
372,New York,Men,Never Married,Elderly,Secondary,Advertising and Promotion Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Workers,1,8,6,Institutions,1 Year to 3 Years,Low,1 to 4,Fun and Exitement
373,Memphis,Women,Never Married,Mature Working,Secondary,Computer and Information System Executive,4,US$ 13676 to US$ 19145,16% to 20%,Flash Board,6,2,3,Institutions,1 Year to 3 Years,Low,More than 13,Others
374,San Francisco,Women,Married,Early Working,Primary,Training and Development Executive,3,Above US$ 30086,Upto 5%,Friends,2,1,4,Intermediaries,1 Year to 3 Years,Medium,More than 13,Inflation
375,San Francisco,Women,Never Married,Mature Working,Secondary,Top Executives,4,US$ 2735,16% to 20%,Family,8,6,3,Social Media,Above 9 Years,Medium,7 to 9,Tax
376,San Francisco,Women,Never Married,Children,Middle,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,21% to 25%,Friends,6,10,3,Friends Reference,7 Years to 9 Years,High,More than 13,Others
377,Houston,Women,Married,Mature Working,Middle,Top Executives,4,US$ 24616 to US$ 30085,21% to 25%,Workers,4,9,1,Others,1 Year to 3 Years,Low,10 to 12 ,Status
378,Seattle,Men,Married,Elderly,Uneducated,Top Executives,4,US$ 19146 to US$ 24615,Upto 5%,Family,5,6,5,Friends Reference,7 Years to 9 Years,Medium,5 to 6,Status
379,New York,Women,Married,Children,Teritary,Computer and Information System Executive,2,US$ 24616 to US$ 30085,Upto 5%,Workers,10,1,5,Friends Reference,1 Year to 3 Years,High,1 to 4,Fun and Exitement
380,San Francisco,Men,Married,Prime Working,Middle,Top Executives,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Magazine,5,6,1,Social Media,1 Year to 3 Years,High,7 to 9,Fun and Exitement
381,Houston,Men,Never Married,Prime Working,Teritary,Marketing and Sales Executive,5,US$ 8206 to US$ 13675,21% to 25%,Television,6,10,2,Institutions,Less Than 1 Year,Medium,7 to 9,Status
382,New York,Men,Married,Mature Working,Secondary,Computer and Information System Executive,4,US$ 13676 to US$ 19145,21% to 25%,Flash Board,7,9,1,Family Reference,4 Years to 6 Years,High,Negative Return,Return
383,Houston,Women,Never Married,Elderly,Primary,Computer and Information System Executive,5,US$ 2736 to US$ 8205,Above 26%,Others,8,1,4,Social Media,7 Years to 9 Years,Medium,5 to 6,Inflation
384,Seattle,Women,Never Married,Children,Middle,Top Executives,1,Above US$ 30086,16% to 20%,Family,2,5,3,Social Media,4 Years to 6 Years,Low,Negative Return,Inflation
385,Houston,Men,Never Married,Prime Working,Secondary,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,Don't Want to Reveal,Family,9,5,4,Friends Reference,Above 9 Years,High,10 to 12 ,Others
386,Memphis,Women,Married,Children,Teritary,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,21% to 25%,Friends,10,5,4,Intermediaries,Above 9 Years,Low,Negative Return,Status
387,Houston,Women,Married,Prime Working,Middle,Training and Development Executive,3,Above US$ 30086,6% to 10%,Family,6,9,1,Friends Reference,Above 9 Years,High,1 to 4,Tax
388,San Francisco,Women,Married,Mature Working,Middle,Computer and Information System Executive,1,US$ 13676 to US$ 19145,21% to 25%,Magazine,3,6,2,Workers Reference,Less Than 1 Year,Low,7 to 9,Tax
389,San Francisco,Women,Married,Children,Middle,Advertising and Promotion Executive,5,US$ 2735,6% to 10%,Television,2,10,2,Institutions,Less Than 1 Year,Low,Negative Return,Status
390,Seattle,Men,Married,Early Working,Uneducated,Computer and Information System Executive,5,US$ 19146 to US$ 24615,6% to 10%,Workers,8,10,6,Family Reference,Less Than 1 Year,Low,1 to 4,Others
391,San Francisco,Men,Married,Early Working,Primary,Marketing and Sales Executive,5,US$ 2736 to US$ 8205,Above 26%,Others,1,8,4,Intermediaries,1 Year to 3 Years,Low,Negative Return,Return
392,Seattle,Men,Married,Children,Secondary,Top Executives,4,Above US$ 30086,6% to 10%,Family,3,4,6,Others,Less Than 1 Year,Low,10 to 12 ,Others
393,Memphis,Women,Never Married,Children,Teritary,Top Executives,4,US$ 24616 to US$ 30085,6% to 10%,Friends,8,5,3,Institutions,Less Than 1 Year,Medium,Negative Return,Fun and Exitement
394,Seattle,Women,Never Married,Elderly,Uneducated,Computer and Information System Executive,2,US$ 13676 to US$ 19145,Don't Want to Reveal,Flash Board,9,2,6,Social Media,4 Years to 6 Years,Low,More than 13,Tax
395,Houston,Women,Married,Children,Teritary,Computer and Information System Executive,2,US$ 19146 to US$ 24615,Above 26%,Flash Board,7,3,2,Institutions,4 Years to 6 Years,Low,10 to 12 ,Inflation
396,New York,Men,Never Married,Children,Uneducated,Advertising and Promotion Executive,2,US$ 19146 to US$ 24615,Upto 5%,Television,1,9,2,Friends Reference,4 Years to 6 Years,Medium,1 to 4,Tax
397,San Francisco,Men,Married,Prime Working,Secondary,Marketing and Sales Executive,1,US$ 24616 to US$ 30085,6% to 10%,Magazine,9,7,5,Family Reference,Above 9 Years,Low,Negative Return,Fun and Exitement
398,Houston,Men,Never Married,Prime Working,Middle,Marketing and Sales Executive,4,US$ 13676 to US$ 19145,16% to 20%,Others,1,8,2,Intermediaries,7 Years to 9 Years,Medium,Negative Return,Others
399,Houston,Men,Married,Mature Working,Uneducated,Top Executives,2,US$ 13676 to US$ 19145,Upto 5%,Flash Board,4,8,4,Others,1 Year to 3 Years,Low,5 to 6,Tax
400,San Francisco,Women,Never Married,Early Working,Uneducated,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Above 26%,Others,7,10,1,Institutions,Less Than 1 Year,Low,7 to 9,Status
401,Seattle,Women,Married,Children,Primary,Computer and Information System Executive,1,US$ 8206 to US$ 13675,Above 26%,Others,9,2,1,Workers Reference,Less Than 1 Year,Low,Negative Return,Fun and Exitement
402,Memphis,Women,Never Married,Children,Middle,Marketing and Sales Executive,5,US$ 2735,21% to 25%,Workers,1,10,5,Family Reference,4 Years to 6 Years,Medium,Negative Return,Status
403,San Francisco,Women,Married,Elderly,Secondary,Training and Development Executive,3,US$ 2735,6% to 10%,Flash Board,7,8,2,Social Media,Above 9 Years,High,7 to 9,Return
404,San Francisco,Women,Never Married,Prime Working,Uneducated,Advertising and Promotion Executive,2,US$ 24616 to US$ 30085,6% to 10%,Family,8,7,6,Social Media,1 Year to 3 Years,High,1 to 4,Tax
405,Memphis,Men,Never Married,Early Working,Uneducated,Top Executives,1,US$ 2736 to US$ 8205,Above 26%,Magazine,4,8,5,Social Media,1 Year to 3 Years,Medium,More than 13,Return
406,San Francisco,Women,Never Married,Children,Middle,Training and Development Executive,5,US$ 2735,11% to 15%,Television,9,6,5,Friends Reference,Above 9 Years,Low,10 to 12 ,Return
407,Houston,Men,Never Married,Mature Working,Teritary,Marketing and Sales Executive,3,US$ 2735,6% to 10%,Others,4,2,4,Social Media,7 Years to 9 Years,High,7 to 9,Others
408,Seattle,Women,Never Married,Mature Working,Teritary,Training and Development Executive,5,US$ 19146 to US$ 24615,16% to 20%,Friends,5,5,3,Institutions,Less Than 1 Year,Low,5 to 6,Return
409,Memphis,Men,Never Married,Mature Working,Teritary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,16% to 20%,Family,4,6,3,Workers Reference,4 Years to 6 Years,Low,5 to 6,Tax
410,Memphis,Men,Married,Mature Working,Uneducated,Training and Development Executive,3,US$ 24616 to US$ 30085,21% to 25%,Flash Board,9,1,2,Friends Reference,Above 9 Years,High,More than 13,Return
411,Memphis,Men,Never Married,Mature Working,Uneducated,Advertising and Promotion Executive,1,US$ 2735,Upto 5%,Television,1,4,4,Social Media,7 Years to 9 Years,High,10 to 12 ,Status
412,New York,Women,Married,Mature Working,Teritary,Training and Development Executive,1,US$ 24616 to US$ 30085,11% to 15%,Magazine,5,7,6,Social Media,Less Than 1 Year,High,More than 13,Tax
413,Houston,Men,Married,Children,Teritary,Top Executives,2,US$ 8206 to US$ 13675,11% to 15%,Magazine,8,10,5,Social Media,1 Year to 3 Years,High,7 to 9,Fun and Exitement
414,San Francisco,Women,Never Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 2735,Above 26%,Magazine,9,9,5,Workers Reference,Above 9 Years,Low,10 to 12 ,Return
415,Houston,Men,Never Married,Mature Working,Primary,Advertising and Promotion Executive,5,US$ 19146 to US$ 24615,21% to 25%,Family,10,2,4,Institutions,7 Years to 9 Years,Low,Negative Return,Status
416,Houston,Women,Married,Early Working,Middle,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,6% to 10%,Magazine,1,2,5,Intermediaries,4 Years to 6 Years,Medium,1 to 4,Others
417,San Francisco,Women,Married,Prime Working,Primary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,Don't Want to Reveal,Magazine,8,1,1,Friends Reference,1 Year to 3 Years,Low,More than 13,Fun and Exitement
418,New York,Men,Married,Elderly,Middle,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,11% to 15%,Family,1,4,6,Friends Reference,Above 9 Years,Medium,10 to 12 ,Inflation
419,Seattle,Women,Never Married,Mature Working,Primary,Training and Development Executive,5,US$ 8206 to US$ 13675,Upto 5%,Television,4,7,6,Intermediaries,1 Year to 3 Years,Low,10 to 12 ,Status
420,Memphis,Women,Married,Early Working,Secondary,Training and Development Executive,5,US$ 13676 to US$ 19145,16% to 20%,Family,4,6,5,Intermediaries,Less Than 1 Year,Medium,7 to 9,Fun and Exitement
421,Memphis,Men,Never Married,Children,Uneducated,Training and Development Executive,4,US$ 2735,Above 26%,Workers,4,6,3,Intermediaries,1 Year to 3 Years,Medium,10 to 12 ,Tax
422,Houston,Women,Married,Prime Working,Secondary,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,Don't Want to Reveal,Flash Board,10,10,1,Social Media,Less Than 1 Year,Medium,More than 13,Inflation
423,San Francisco,Men,Married,Mature Working,Teritary,Computer and Information System Executive,3,US$ 8206 to US$ 13675,Upto 5%,Television,2,2,4,Friends Reference,4 Years to 6 Years,High,Negative Return,Return
424,Houston,Men,Never Married,Children,Secondary,Top Executives,5,US$ 19146 to US$ 24615,11% to 15%,Flash Board,2,1,6,Institutions,4 Years to 6 Years,High,More than 13,Return
425,Memphis,Women,Never Married,Early Working,Middle,Marketing and Sales Executive,1,Above US$ 30086,16% to 20%,Others,4,5,5,Family Reference,4 Years to 6 Years,Low,5 to 6,Fun and Exitement
426,San Francisco,Men,Married,Prime Working,Uneducated,Computer and Information System Executive,5,US$ 24616 to US$ 30085,16% to 20%,Others,4,1,1,Intermediaries,7 Years to 9 Years,High,10 to 12 ,Inflation
427,Seattle,Men,Married,Mature Working,Middle,Top Executives,5,US$ 24616 to US$ 30085,21% to 25%,Family,1,1,3,Intermediaries,Above 9 Years,Medium,7 to 9,Others
428,Memphis,Women,Married,Early Working,Uneducated,Marketing and Sales Executive,2,Above US$ 30086,Don't Want to Reveal,Magazine,3,4,3,Others,Above 9 Years,High,5 to 6,Return
429,Houston,Women,Married,Mature Working,Secondary,Training and Development Executive,2,US$ 24616 to US$ 30085,Don't Want to Reveal,Workers,3,10,1,Social Media,Less Than 1 Year,Medium,More than 13,Others
430,San Francisco,Men,Never Married,Children,Secondary,Training and Development Executive,1,US$ 2736 to US$ 8205,6% to 10%,Workers,10,7,1,Institutions,1 Year to 3 Years,Low,5 to 6,Status
431,San Francisco,Women,Married,Elderly,Secondary,Top Executives,5,US$ 24616 to US$ 30085,21% to 25%,Others,9,6,5,Friends Reference,4 Years to 6 Years,Medium,10 to 12 ,Tax
432,San Francisco,Women,Married,Early Working,Uneducated,Computer and Information System Executive,3,US$ 2735,21% to 25%,Magazine,10,6,2,Intermediaries,7 Years to 9 Years,Medium,More than 13,Status
433,Houston,Women,Never Married,Prime Working,Uneducated,Advertising and Promotion Executive,2,Above US$ 30086,21% to 25%,Flash Board,5,9,5,Intermediaries,1 Year to 3 Years,Medium,More than 13,Fun and Exitement
